Level,Div Num,Div Name,Subject,Subgroup,2015-2016 Pass Rate,2016-2017 Pass Rate,2017-2018 Pass Rate, 
Div,1,Accomack County,English: Reading,All Students,69,71,71, 
Div,1,Accomack County,English: Writing,All Students,75,73,73, 
Div,1,Accomack County,History and Social Sciences,All Students,77,78,77, 
Div,1,Accomack County,Mathematics,All Students,75,74,73, 
Div,1,Accomack County,Science,All Students,77,76,75, 
Div,1,Accomack County,English: Reading,Asian,76,88,95, 
Div,1,Accomack County,English: Writing,Asian,60,<,<, 
Div,1,Accomack County,History and Social Sciences,Asian,90,86,100, 
Div,1,Accomack County,Mathematics,Asian,83,95,96, 
Div,1,Accomack County,Science,Asian,88,100,100, 
Div,1,Accomack County,English: Reading,Black,56,61,60, 
Div,1,Accomack County,English: Writing,Black,65,64,58, 
Div,1,Accomack County,History and Social Sciences,Black,66,64,67, 
Div,1,Accomack County,Mathematics,Black,64,62,62, 
Div,1,Accomack County,Science,Black,63,63,63, 
Div,1,Accomack County,English: Reading,Economically Disadvantaged,61,65,64, 
Div,1,Accomack County,English: Writing,Economically Disadvantaged,66,66,67, 
Div,1,Accomack County,History and Social Sciences,Economically Disadvantaged,71,70,72, 
Div,1,Accomack County,Mathematics,Economically Disadvantaged,69,69,69, 
Div,1,Accomack County,Science,Economically Disadvantaged,69,68,70, 
Div,1,Accomack County,English: Reading,English Learners,43,60,58, 
Div,1,Accomack County,English: Writing,English Learners,30,46,51, 
Div,1,Accomack County,History and Social Sciences,English Learners,56,66,69, 
Div,1,Accomack County,Mathematics,English Learners,60,72,72, 
Div,1,Accomack County,Science,English Learners,38,56,58, 
Div,1,Accomack County,English: Reading,Female,72,75,75, 
Div,1,Accomack County,English: Writing,Female,78,81,78, 
Div,1,Accomack County,History and Social Sciences,Female,76,78,77, 
Div,1,Accomack County,Mathematics,Female,77,77,76, 
Div,1,Accomack County,Science,Female,74,77,74, 
Div,1,Accomack County,English: Reading,Hispanic,63,64,65, 
Div,1,Accomack County,English: Writing,Hispanic,73,63,77, 
Div,1,Accomack County,History and Social Sciences,Hispanic,76,77,78, 
Div,1,Accomack County,Mathematics,Hispanic,77,77,76, 
Div,1,Accomack County,Science,Hispanic,74,72,73, 
Div,1,Accomack County,English: Reading,Male,66,68,67, 
Div,1,Accomack County,English: Writing,Male,73,67,69, 
Div,1,Accomack County,History and Social Sciences,Male,78,77,77, 
Div,1,Accomack County,Mathematics,Male,72,71,70, 
Div,1,Accomack County,Science,Male,79,75,76, 
Div,1,Accomack County,English: Reading,Students with Disabilities,35,36,34, 
Div,1,Accomack County,English: Writing,Students with Disabilities,44,44,31, 
Div,1,Accomack County,History and Social Sciences,Students with Disabilities,50,52,42, 
Div,1,Accomack County,Mathematics,Students with Disabilities,48,40,44, 
Div,1,Accomack County,Science,Students with Disabilities,48,47,42, 
Div,1,Accomack County,English: Reading,White,83,84,84, 
Div,1,Accomack County,English: Writing,White,84,84,84, 
Div,1,Accomack County,History and Social Sciences,White,88,89,85, 
Div,1,Accomack County,Mathematics,White,83,82,80, 
Div,1,Accomack County,Science,White,90,89,87, 
Div,2,Albemarle County,English: Reading,All Students,80,80,79, 
Div,2,Albemarle County,English: Writing,All Students,82,83,81, 
Div,2,Albemarle County,History and Social Sciences,All Students,84,85,81, 
Div,2,Albemarle County,Mathematics,All Students,78,77,76, 
Div,2,Albemarle County,Science,All Students,82,82,80, 
Div,2,Albemarle County,English: Reading,Asian,89,90,88, 
Div,2,Albemarle County,English: Writing,Asian,91,93,93, 
Div,2,Albemarle County,History and Social Sciences,Asian,94,94,92, 
Div,2,Albemarle County,Mathematics,Asian,91,90,91, 
Div,2,Albemarle County,Science,Asian,88,92,90, 
Div,2,Albemarle County,English: Reading,Black,54,57,55, 
Div,2,Albemarle County,English: Writing,Black,54,58,53, 
Div,2,Albemarle County,History and Social Sciences,Black,55,57,59, 
Div,2,Albemarle County,Mathematics,Black,53,51,52, 
Div,2,Albemarle County,Science,Black,49,54,51, 
Div,2,Albemarle County,English: Reading,Economically Disadvantaged,53,56,54, 
Div,2,Albemarle County,English: Writing,Economically Disadvantaged,54,59,53, 
Div,2,Albemarle County,History and Social Sciences,Economically Disadvantaged,62,65,59, 
Div,2,Albemarle County,Mathematics,Economically Disadvantaged,57,56,54, 
Div,2,Albemarle County,Science,Economically Disadvantaged,58,58,55, 
Div,2,Albemarle County,English: Reading,English Learners,52,53,45, 
Div,2,Albemarle County,English: Writing,English Learners,39,42,51, 
